407.458, 64.05940252172527
 407.458,  53.0485205675471
 407.458, 41.16588507270187
435.864 ,
435.864 ,29.597726559246766
435.864 ,48.17077411114498
 471.052, 22.548396470358146
 471.052,37.41854701774204
 471.052,16.06491889443691
 414.616 ,56.15885580316452
 414.616 ,23.336214338480968
 414.616 , 23.91985012270095
  450.325,
  450.325
  450.325
  471.219 
  471.219
   471.219 
  516.623
   516.623
    516.623
  614.134 
  614.134 
  614.134 
  683.088
  331.457  
  427.539
  250.611 
  477.885
   544.391
   544.391
   544.391
   189.520 
   189.520 
   189.520 
   549.168
   549.168
   549.168
   284.576 
   284.576 
   284.576 
   543.081
   543.081
   543.081
   222.426
   222.426
   222.426 
   715.002
   715.002
   715.002
   426.653
   426.653
   426.653
    108.586
    108.586
    108.586
    145.297 
    183.685
    430.490
    430.490
    430.490
    429.329
     460.585 
     460.585 
     460.585 
    199.129
    199.129
    199.129,65.7489231357711
      518.310, 208.05513380866122
      629.179 
      629.179 
      629.179,35.59092113645872
       511.446,14.130766092904317
       132.860,
       132.860,51.618371603241194
       132.860,51.20743082186363
