acceleration,pas_du_temps
-0.296859E-06,0
-0.246655E-06,0.025
-0.124419E-06,0.05
-0.701220E-07,0.07500000000000001
 0.825821E-07,0.1
 0.163345E-06,0.125
 0.266846E-06,0.15
 0.484033E-06,0.175
 0.603904E-06,0.19999999999999998
 0.859109E-06,0.22499999999999998
 0.989530E-06,0.24999999999999997
 0.117725E-05,0.27499999999999997
 0.153195E-05,0.3
 0.124774E-05,0.325
 0.165201E-05,0.35000000000000003
 0.203945E-05,0.37500000000000006
 0.188229E-05,0.4000000000000001
 0.256841E-05,0.4250000000000001
 0.241125E-05,0.4500000000000001
 0.265027E-05,0.47500000000000014
 0.314612E-05,0.5000000000000001
 0.322179E-05,0.5250000000000001
 0.332366E-05,0.5500000000000002
 0.350893E-05,0.5750000000000002
 0.447440E-05,0.6000000000000002
 0.375949E-05,0.6250000000000002
 0.342952E-05,0.6500000000000002
 0.395739E-05,0.6750000000000003
 0.507825E-05,0.7000000000000003
 0.450964E-05,0.7250000000000003
 0.438886E-05,0.7500000000000003
 0.601576E-05,0.7750000000000004
 0.326290E-05,0.8000000000000004
 0.452856E-05,0.8250000000000004
 0.581203E-05,0.8500000000000004
 0.350992E-05,0.8750000000000004
 0.444561E-05,0.9000000000000005
 0.557375E-05,0.9250000000000005
 0.581058E-05,0.9500000000000005
 0.559012E-05,0.9750000000000005
 0.285945E-05,1.0000000000000004
 0.533619E-05,1.0250000000000004
 0.719374E-05,1.0500000000000003
 0.238360E-05,1.0750000000000002
 0.578766E-05,1.1
 0.381988E-05,1.125
 0.147556E-05,1.15
 0.465516E-05,1.1749999999999998
 0.347281E-05,1.1999999999999997
 0.139155E-05,1.2249999999999996
 0.557475E-06,1.2499999999999996
 0.508489E-05,1.2749999999999995
 0.527998E-05,1.2999999999999994
 0.273940E-05,1.3249999999999993
 0.125729E-05,1.3499999999999992
 0.841901E-05,1.3749999999999991
-0.161781E-05,1.399999999999999
-0.533400E-05,1.424999999999999
 0.364234E-05,1.4499999999999988
-0.249565E-05,1.4749999999999988
 0.207838E-05,1.4999999999999987
-0.216824E-05,1.5249999999999986
-0.176078E-06,1.5499999999999985
 0.705768E-06,1.5749999999999984
-0.269938E-05,1.5999999999999983
-0.470027E-06,1.6249999999999982
-0.283180E-05,1.6499999999999981
 0.145956E-05,1.674999999999998
-0.438413E-05,1.699999999999998
 0.153123E-05,1.7249999999999979
-0.571881E-05,1.7499999999999978
-0.866639E-05,1.7749999999999977
 0.540749E-05,1.7999999999999976
-0.206783E-05,1.8249999999999975
 0.163855E-05,1.8499999999999974
-0.336586E-05,1.8749999999999973
-0.392138E-05,1.8999999999999972
-0.307909E-05,1.9249999999999972
-0.772779E-05,1.949999999999997
-0.525833E-05,1.974999999999997
-0.150700E-04,1.999999999999997
-0.332730E-05,2.024999999999997
-0.448999E-05,2.0499999999999967
-0.150860E-04,2.0749999999999966
-0.975706E-05,2.0999999999999965
-0.160275E-04,2.1249999999999964
-0.126436E-04,2.1499999999999964
-0.107884E-04,2.1749999999999963
-0.143278E-04,2.199999999999996
-0.861837E-05,2.224999999999996
-0.104937E-04,2.249999999999996
-0.169510E-04,2.274999999999996
-0.165674E-04,2.299999999999996
-0.206062E-04,2.3249999999999957
-0.168682E-04,2.3499999999999956
-0.123830E-04,2.3749999999999956
-0.177228E-04,2.3999999999999955
-0.903251E-05,2.4249999999999954
-0.185770E-04,2.4499999999999953
-0.115397E-04,2.474999999999995
-0.118402E-04,2.499999999999995
-0.265365E-04,2.524999999999995
-0.187832E-04,2.549999999999995
-0.132408E-04,2.574999999999995
-0.167565E-04,2.5999999999999948
-0.167602E-04,2.6249999999999947
 0.600267E-08,2.6499999999999946
-0.171109E-04,2.6749999999999945
 0.832370E-06,2.6999999999999944
-0.648652E-05,2.7249999999999943
-0.201791E-04,2.7499999999999942
 0.187076E-04,2.774999999999994
-0.470900E-05,2.799999999999994
-0.221102E-04,2.824999999999994
 0.110900E-04,2.849999999999994
 0.101274E-04,2.874999999999994
-0.461769E-05,2.8999999999999937
 0.131122E-04,2.9249999999999936
 0.222499E-05,2.9499999999999935
 0.755717E-05,2.9749999999999934
 0.226391E-05,2.9999999999999933
-0.844811E-05,3.0249999999999932
-0.671989E-05,3.049999999999993
-0.831133E-05,3.074999999999993
-0.217915E-05,3.099999999999993
-0.726723E-05,3.124999999999993
 0.197790E-04,3.149999999999993
 0.146138E-04,3.1749999999999927
-0.376895E-06,3.1999999999999926
 0.270571E-04,3.2249999999999925
 0.264401E-04,3.2499999999999925
-0.927103E-05,3.2749999999999924
 0.151646E-04,3.2999999999999923
 0.328007E-04,3.324999999999992
 0.256186E-05,3.349999999999992
 0.735308E-05,3.374999999999992
 0.117525E-04,3.399999999999992
 0.271521E-04,3.424999999999992
 0.165377E-04,3.4499999999999917
 0.175265E-04,3.4749999999999917
 0.344618E-04,3.4999999999999916
-0.691903E-05,3.5249999999999915
 0.149299E-04,3.5499999999999914
 0.211750E-04,3.5749999999999913
