acceleration,pas_du_temps
-0.474023E-04,0
-0.474788E-04,0.01
-0.475531E-04,0.02
-0.476386E-04,0.03
-0.476892E-04,0.04
-0.478070E-04,0.05
-0.478716E-04,0.060000000000000005
-0.479134E-04,0.07
-0.479693E-04,0.08
-0.479574E-04,0.09
-0.482361E-04,0.09999999999999999
-0.483854E-04,0.10999999999999999
-0.481406E-04,0.11999999999999998
-0.484020E-04,0.12999999999999998
-0.489278E-04,0.13999999999999999
-0.489116E-04,0.15
-0.483498E-04,0.16
-0.487989E-04,0.17
-0.493714E-04,0.18000000000000002
-0.490034E-04,0.19000000000000003
-0.494962E-04,0.20000000000000004
-0.494899E-04,0.21000000000000005
-0.494967E-04,0.22000000000000006
-0.500680E-04,0.23000000000000007
-0.494933E-04,0.24000000000000007
-0.495183E-04,0.25000000000000006
-0.501082E-04,0.26000000000000006
-0.506448E-04,0.2700000000000001
-0.504978E-04,0.2800000000000001
-0.498281E-04,0.2900000000000001
-0.501786E-04,0.3000000000000001
-0.510051E-04,0.3100000000000001
-0.520198E-04,0.3200000000000001
-0.510914E-04,0.3300000000000001
-0.513127E-04,0.34000000000000014
-0.532929E-04,0.35000000000000014
-0.512086E-04,0.36000000000000015
-0.518770E-04,0.37000000000000016
-0.535757E-04,0.38000000000000017
-0.517621E-04,0.3900000000000002
-0.529017E-04,0.4000000000000002
-0.535360E-04,0.4100000000000002
-0.515061E-04,0.4200000000000002
-0.522389E-04,0.4300000000000002
-0.551605E-04,0.4400000000000002
-0.530894E-04,0.45000000000000023
-0.521897E-04,0.46000000000000024
-0.544134E-04,0.47000000000000025
-0.540797E-04,0.48000000000000026
-0.538361E-04,0.49000000000000027
-0.523500E-04,0.5000000000000002
-0.547785E-04,0.5100000000000002
-0.557199E-04,0.5200000000000002
-0.536500E-04,0.5300000000000002
-0.561466E-04,0.5400000000000003
-0.537348E-04,0.5500000000000003
-0.536096E-04,0.5600000000000003
-0.555789E-04,0.5700000000000003
-0.530432E-04,0.5800000000000003
-0.560223E-04,0.5900000000000003
-0.557757E-04,0.6000000000000003
-0.512613E-04,0.6100000000000003
-0.510596E-04,0.6200000000000003
-0.563599E-04,0.6300000000000003
-0.594780E-04,0.6400000000000003
-0.530745E-04,0.6500000000000004
-0.540284E-04,0.6600000000000004
-0.592601E-04,0.6700000000000004
-0.531516E-04,0.6800000000000004
-0.538708E-04,0.6900000000000004
-0.604516E-04,0.7000000000000004
-0.577502E-04,0.7100000000000004
-0.564133E-04,0.7200000000000004
-0.548920E-04,0.7300000000000004
-0.560585E-04,0.7400000000000004
-0.575987E-04,0.7500000000000004
-0.548886E-04,0.7600000000000005
-0.588574E-04,0.7700000000000005
-0.571863E-04,0.7800000000000005
-0.543136E-04,0.7900000000000005
-0.550595E-04,0.8000000000000005
-0.606107E-04,0.8100000000000005
-0.603217E-04,0.8200000000000005
-0.516189E-04,0.8300000000000005
-0.634664E-04,0.8400000000000005
-0.577860E-04,0.8500000000000005
-0.508539E-04,0.8600000000000005
-0.660199E-04,0.8700000000000006
-0.636874E-04,0.8800000000000006
-0.573445E-04,0.8900000000000006
-0.577676E-04,0.9000000000000006
-0.625503E-04,0.9100000000000006
-0.561525E-04,0.9200000000000006
-0.614538E-04,0.9300000000000006
-0.699380E-04,0.9400000000000006
-0.554539E-04,0.9500000000000006
-0.583181E-04,0.9600000000000006
-0.662214E-04,0.9700000000000006
-0.692093E-04,0.9800000000000006
-0.577458E-04,0.9900000000000007
-0.561132E-04,1.0000000000000007
-0.778562E-04,1.0100000000000007
-0.588794E-04,1.0200000000000007
-0.533059E-04,1.0300000000000007
-0.743477E-04,1.0400000000000007
-0.647829E-04,1.0500000000000007
-0.610165E-04,1.0600000000000007
-0.691568E-04,1.0700000000000007
-0.686683E-04,1.0800000000000007
-0.571978E-04,1.0900000000000007
-0.575478E-04,1.1000000000000008
-0.612321E-04,1.1100000000000008
-0.706146E-04,1.1200000000000008
-0.826247E-04,1.1300000000000008
-0.587514E-04,1.1400000000000008
-0.589679E-04,1.1500000000000008
-0.663648E-04,1.1600000000000008
-0.587524E-04,1.1700000000000008
-0.868462E-04,1.1800000000000008
-0.728504E-04,1.1900000000000008
-0.437277E-04,1.2000000000000008
-0.738285E-04,1.2100000000000009
-0.686878E-04,1.2200000000000009
-0.576394E-04,1.2300000000000009
-0.798148E-04,1.2400000000000009
-0.705048E-04,1.2500000000000009
-0.679032E-04,1.260000000000001
-0.738728E-04,1.270000000000001
-0.588501E-04,1.280000000000001
-0.622253E-04,1.290000000000001
-0.783097E-04,1.300000000000001
-0.679083E-04,1.310000000000001
-0.621387E-04,1.320000000000001
-0.801785E-04,1.330000000000001
-0.822966E-04,1.340000000000001
-0.795107E-04,1.350000000000001
-0.748415E-04,1.360000000000001
-0.628539E-04,1.370000000000001
-0.827814E-04,1.380000000000001
-0.102888E-03,1.390000000000001
-0.754589E-04,1.400000000000001
-0.772019E-04,1.410000000000001
-0.944162E-04,1.420000000000001
-0.741860E-04,1.430000000000001
-0.773557E-04,1.440000000000001
-0.774472E-04,1.450000000000001
-0.808119E-04,1.460000000000001
-0.903499E-04,1.470000000000001
-0.724598E-04,1.480000000000001
-0.823024E-04,1.490000000000001
-0.803057E-04,1.500000000000001
-0.742970E-04,1.5100000000000011
-0.971408E-04,1.5200000000000011
-0.785062E-04,1.5300000000000011
-0.823537E-04,1.5400000000000011
-0.883305E-04,1.5500000000000012
-0.507838E-04,1.5600000000000012
-0.779683E-04,1.5700000000000012
-0.100410E-03,1.5800000000000012
-0.843151E-04,1.5900000000000012
-0.898444E-04,1.6000000000000012
-0.791300E-04,1.6100000000000012
-0.428270E-04,1.6200000000000012
-0.601909E-04,1.6300000000000012
-0.113864E-03,1.6400000000000012
-0.843595E-04,1.6500000000000012
-0.774460E-04,1.6600000000000013
-0.890424E-04,1.6700000000000013
-0.612752E-04,1.6800000000000013
-0.794289E-04,1.6900000000000013
-0.103366E-03,1.7000000000000013
-0.998945E-04,1.7100000000000013
-0.719102E-04,1.7200000000000013
-0.102264E-03,1.7300000000000013
-0.101125E-03,1.7400000000000013
-0.383079E-04,1.7500000000000013
-0.958860E-04,1.7600000000000013
-0.100857E-03,1.7700000000000014
-0.683095E-04,1.7800000000000014
-0.100889E-03,1.7900000000000014
-0.674666E-04,1.8000000000000014
-0.764468E-04,1.8100000000000014
-0.814820E-04,1.8200000000000014
-0.507552E-04,1.8300000000000014
-0.840382E-04,1.8400000000000014
-0.938708E-04,1.8500000000000014
-0.955028E-04,1.8600000000000014
-0.816568E-04,1.8700000000000014
-0.838916E-04,1.8800000000000014
-0.874439E-04,1.8900000000000015
-0.702022E-04,1.9000000000000015
-0.994813E-04,1.9100000000000015
-0.696382E-04,1.9200000000000015
-0.583679E-04,1.9300000000000015
-0.912276E-04,1.9400000000000015
-0.915190E-04,1.9500000000000015
-0.651944E-04,1.9600000000000015
-0.507593E-04,1.9700000000000015
-0.971902E-04,1.9800000000000015
-0.714640E-04,1.9900000000000015
-0.748714E-04,2.0000000000000013
-0.804517E-04,2.010000000000001
-0.476512E-04,2.020000000000001
-0.726125E-04,2.0300000000000007
-0.598414E-04,2.0400000000000005
-0.100166E-03,2.0500000000000003
-0.745276E-04,2.06
-0.436197E-04,2.07
-0.953147E-04,2.0799999999999996
-0.729066E-04,2.0899999999999994
-0.790618E-04,2.099999999999999
-0.731445E-04,2.109999999999999
-0.916509E-04,2.1199999999999988
-0.123151E-03,2.1299999999999986
-0.651437E-04,2.1399999999999983
-0.468684E-04,2.149999999999998
-0.883379E-04,2.159999999999998
-0.856440E-04,2.1699999999999977
-0.770904E-04,2.1799999999999975
-0.772974E-04,2.1899999999999973
-0.768609E-04,2.199999999999997
-0.503162E-04,2.209999999999997
-0.455016E-04,2.2199999999999966
-0.121786E-03,2.2299999999999964
-0.661967E-04,2.239999999999996
-0.386557E-04,2.249999999999996
-0.104380E-03,2.259999999999996
-0.727039E-04,2.2699999999999956
-0.904185E-04,2.2799999999999954
-0.101691E-03,2.289999999999995
-0.568549E-04,2.299999999999995
-0.450040E-04,2.3099999999999947
-0.103342E-03,2.3199999999999945
-0.918611E-04,2.3299999999999943
-0.369389E-04,2.339999999999994
-0.103708E-03,2.349999999999994
-0.423930E-04,2.3599999999999937
-0.258964E-04,2.3699999999999934
-0.156448E-03,2.3799999999999932
-0.757426E-04,2.389999999999993
-0.224089E-04,2.399999999999993
-0.554654E-04,2.4099999999999926
-0.348320E-04,2.4199999999999924
-0.102875E-03,2.429999999999992
-0.106033E-03,2.439999999999992
-0.721993E-04,2.4499999999999917
-0.101348E-03,2.4599999999999915
-0.649336E-04,2.4699999999999913
-0.829768E-04,2.479999999999991
-0.946012E-04,2.489999999999991
-0.604496E-04,2.4999999999999907
-0.662058E-04,2.5099999999999905
-0.450324E-04,2.5199999999999902
-0.942118E-04,2.52999999999999
-0.102143E-03,2.53999999999999
-0.938046E-04,2.5499999999999896
-0.104407E-03,2.5599999999999894
-0.433512E-04,2.569999999999989
-0.115719E-03,2.579999999999989
-0.828111E-04,2.5899999999999888
