acceleration,pas_du_temps
 0.337604E-06,0
 0.576256E-06,0.01
 0.418368E-06,0.02
 0.640284E-06,0.03
 0.373257E-06,0.04
 0.430282E-06,0.05
 0.408181E-06,0.060000000000000005
 0.475484E-06,0.07
 0.445789E-06,0.08
 0.144719E-05,0.09
 0.170112E-05,0.09999999999999999
 0.117288E-05,0.10999999999999999
-0.337604E-06,0.11999999999999998
-0.110012E-05,0.12999999999999998
-0.145519E-05,0.13999999999999999
-0.480213E-07,0.15
 0.196305E-05,0.16
 0.235450E-05,0.17
 0.206783E-05,0.18000000000000002
 0.133005E-05,0.19000000000000003
-0.299551E-05,0.20000000000000004
-0.495638E-05,0.21000000000000005
-0.166692E-05,0.22000000000000006
 0.430628E-05,0.23000000000000007
 0.521413E-05,0.24000000000000007
 0.350119E-05,0.25000000000000006
 0.239525E-05,0.26000000000000006
 0.934233E-06,0.2700000000000001
-0.162399E-05,0.2800000000000001
-0.215950E-05,0.2900000000000001
 0.280415E-05,0.3000000000000001
 0.315194E-05,0.3100000000000001
-0.355722E-05,0.3200000000000001
 0.299769E-06,0.3300000000000001
 0.447835E-05,0.34000000000000014
 0.770560E-05,0.35000000000000014
 0.710425E-05,0.36000000000000015
 0.241562E-06,0.37000000000000016
-0.211585E-05,0.38000000000000017
-0.150569E-04,0.3900000000000002
-0.851360E-05,0.4000000000000002
-0.119326E-06,0.4100000000000002
 0.378059E-05,0.4200000000000002
 0.191591E-04,0.4300000000000002
 0.894652E-05,0.4400000000000002
 0.124681E-04,0.45000000000000023
-0.676737E-05,0.46000000000000024
-0.156058E-04,0.47000000000000025
 0.180398E-05,0.48000000000000026
 0.203654E-05,0.49000000000000027
 0.233442E-04,0.5000000000000002
 0.115368E-04,0.5100000000000002
-0.814907E-07,0.5200000000000002
 0.287837E-05,0.5300000000000002
-0.211876E-05,0.5400000000000003
-0.671425E-05,0.5500000000000003
-0.185624E-04,0.5600000000000003
 0.563668E-05,0.5700000000000003
-0.414439E-05,0.5800000000000003
-0.136555E-04,0.5900000000000003
 0.132744E-04,0.6000000000000003
 0.618165E-05,0.6100000000000003
 0.267755E-04,0.6200000000000003
 0.205910E-04,0.6300000000000003
-0.113483E-04,0.6400000000000003
-0.243250E-04,0.6500000000000004
-0.426691E-04,0.6600000000000004
-0.940636E-05,0.6700000000000004
 0.401342E-05,0.6800000000000004
 0.492990E-04,0.6900000000000004
 0.588552E-04,0.7000000000000004
 0.175419E-05,0.7100000000000004
-0.849459E-05,0.7200000000000004
-0.375658E-04,0.7300000000000004
-0.426618E-04,0.7400000000000004
-0.342654E-04,0.7500000000000004
 0.990403E-05,0.7600000000000005
 0.405882E-04,0.7700000000000005
 0.273147E-04,0.7800000000000005
 0.120797E-04,0.7900000000000005
-0.188869E-04,0.8000000000000005
-0.130560E-04,0.8100000000000005
-0.270229E-04,0.8200000000000005
-0.316533E-04,0.8300000000000005
-0.857108E-06,0.8400000000000005
 0.222208E-04,0.8500000000000005
-0.126274E-05,0.8600000000000005
 0.200504E-04,0.8700000000000006
 0.199525E-04,0.8800000000000006
-0.455540E-04,0.8900000000000006
-0.130705E-04,0.9000000000000006
-0.137457E-04,0.9100000000000006
-0.866276E-05,0.9200000000000006
-0.467553E-05,0.9300000000000006
-0.216853E-04,0.9400000000000006
-0.462460E-05,0.9500000000000006
-0.795408E-05,0.9600000000000006
 0.392465E-04,0.9700000000000006
 0.256856E-04,0.9800000000000006
-0.493426E-04,0.9900000000000007
-0.113854E-03,1.0000000000000007
-0.123365E-03,1.0100000000000007
-0.256929E-04,1.0200000000000007
 0.441778E-05,1.0300000000000007
 0.515036E-04,1.0400000000000007
 0.114957E-03,1.0500000000000007
 0.245112E-04,1.0600000000000007
 0.114938E-04,1.0700000000000007
-0.302374E-04,1.0800000000000007
-0.113598E-03,1.0900000000000007
-0.618908E-04,1.1000000000000008
-0.152926E-04,1.1100000000000008
 0.504078E-04,1.1200000000000008
 0.615080E-04,1.1300000000000008
 0.109299E-03,1.1400000000000008
 0.416010E-04,1.1500000000000008
-0.872446E-04,1.1600000000000008
 0.104774E-04,1.1700000000000008
-0.615335E-04,1.1800000000000008
-0.541011E-04,1.1900000000000008
 0.326341E-04,1.2000000000000008
-0.479602E-04,1.2100000000000009
 0.402797E-04,1.2200000000000009
 0.145886E-03,1.2300000000000009
 0.105496E-03,1.2400000000000009
 0.766704E-05,1.2500000000000009
-0.550644E-04,1.260000000000001
-0.276195E-04,1.270000000000001
-0.686327E-04,1.280000000000001
 0.938744E-05,1.290000000000001
 0.165994E-03,1.300000000000001
 0.731612E-04,1.310000000000001
 0.119344E-05,1.320000000000001
-0.536209E-04,1.330000000000001
-0.115111E-03,1.340000000000001
-0.450847E-04,1.350000000000001
 0.659442E-04,1.360000000000001
 0.881031E-04,1.370000000000001
 0.261163E-04,1.380000000000001
-0.533422E-04,1.390000000000001
-0.151290E-03,1.400000000000001
-0.890490E-04,1.410000000000001
-0.504660E-05,1.420000000000001
 0.366665E-04,1.430000000000001
 0.171494E-04,1.440000000000001
-0.718865E-06,1.450000000000001
 0.118524E-03,1.460000000000001
-0.176893E-04,1.470000000000001
-0.145641E-03,1.480000000000001
-0.202665E-04,1.490000000000001
-0.890679E-04,1.500000000000001
-0.713364E-04,1.5100000000000011
 0.108599E-03,1.5200000000000011
 0.630273E-04,1.5300000000000011
-0.732762E-04,1.5400000000000011
-0.646874E-04,1.5500000000000012
-0.580505E-04,1.5600000000000012
-0.148092E-03,1.5700000000000012
 0.229338E-05,1.5800000000000012
-0.509317E-06,1.5900000000000012
-0.146109E-03,1.6000000000000012
 0.369444E-04,1.6100000000000012
 0.550674E-04,1.6200000000000012
 0.111207E-03,1.6300000000000012
 0.201419E-03,1.6400000000000012
-0.294822E-04,1.6500000000000012
-0.314799E-03,1.6600000000000013
-0.364259E-03,1.6700000000000013
-0.106049E-03,1.6800000000000013
 0.957720E-04,1.6900000000000013
 0.293608E-03,1.7000000000000013
 0.403862E-03,1.7100000000000013
 0.180831E-03,1.7200000000000013
-0.583095E-04,1.7300000000000013
-0.306946E-03,1.7400000000000013
-0.378684E-03,1.7500000000000013
-0.360450E-03,1.7600000000000013
-0.742002E-05,1.7700000000000014
 0.391385E-03,1.7800000000000014
 0.366594E-03,1.7900000000000014
 0.430717E-03,1.8000000000000014
 0.108098E-03,1.8100000000000014
-0.350723E-03,1.8200000000000014
-0.573993E-03,1.8300000000000014
-0.470597E-03,1.8400000000000014
-0.208485E-04,1.8500000000000014
 0.287578E-03,1.8600000000000014
 0.677133E-03,1.8700000000000014
 0.594725E-03,1.8800000000000014
 0.220852E-03,1.8900000000000015
-0.148127E-03,1.9000000000000015
-0.429168E-03,1.9100000000000015
-0.413216E-03,1.9200000000000015
-0.254356E-03,1.9300000000000015
 0.216602E-03,1.9400000000000015
 0.312776E-03,1.9500000000000015
 0.271380E-03,1.9600000000000015
 0.270648E-03,1.9700000000000015
-0.339540E-04,1.9800000000000015
-0.197494E-03,1.9900000000000015
-0.266661E-03,2.0000000000000013
-0.315064E-03,2.010000000000001
-0.228884E-03,2.020000000000001
 0.142420E-03,2.0300000000000007
 0.409814E-03,2.0400000000000005
 0.242968E-03,2.0500000000000003
 0.145109E-03,2.06
 0.134933E-05,2.07
-0.314365E-03,2.0799999999999996
-0.226373E-03,2.0899999999999994
-0.144675E-03,2.099999999999999
-0.114855E-03,2.109999999999999
 0.656402E-04,2.1199999999999988
 0.119381E-03,2.1299999999999986
 0.294353E-03,2.1399999999999983
 0.999251E-04,2.149999999999998
-0.132170E-03,2.159999999999998
