acceleration,pas_du_temps
 0.220549E-04,0
 0.221538E-04,0.01
 0.221567E-04,0.02
 0.221793E-04,0.03
 0.222579E-04,0.04
 0.221666E-04,0.05
 0.222638E-04,0.060000000000000005
 0.222804E-04,0.07
 0.224347E-04,0.08
 0.224245E-04,0.09
 0.222819E-04,0.09999999999999999
 0.224885E-04,0.10999999999999999
 0.227050E-04,0.11999999999999998
 0.222028E-04,0.12999999999999998
 0.226672E-04,0.13999999999999999
 0.229498E-04,0.15
 0.226995E-04,0.16
 0.222848E-04,0.17
 0.221131E-04,0.18000000000000002
 0.229542E-04,0.19000000000000003
 0.231608E-04,0.20000000000000004
 0.231517E-04,0.21000000000000005
 0.229978E-04,0.22000000000000006
 0.222994E-04,0.23000000000000007
 0.221320E-04,0.24000000000000007
 0.221589E-04,0.25000000000000006
 0.225784E-04,0.26000000000000006
 0.229164E-04,0.2700000000000001
 0.238229E-04,0.2800000000000001
 0.239816E-04,0.2900000000000001
 0.226821E-04,0.3000000000000001
 0.218619E-04,0.3100000000000001
 0.215179E-04,0.3200000000000001
 0.233587E-04,0.3300000000000001
 0.232845E-04,0.34000000000000014
 0.245738E-04,0.35000000000000014
 0.273954E-04,0.36000000000000015
 0.205589E-04,0.37000000000000016
 0.177246E-04,0.38000000000000017
 0.234388E-04,0.3900000000000002
 0.242784E-04,0.4000000000000002
 0.241445E-04,0.4100000000000002
 0.236051E-04,0.4200000000000002
 0.227999E-04,0.4300000000000002
 0.235894E-04,0.4400000000000002
 0.220753E-04,0.45000000000000023
 0.212778E-04,0.46000000000000024
 0.227941E-04,0.47000000000000025
 0.268585E-04,0.48000000000000026
 0.251896E-04,0.49000000000000027
 0.196829E-04,0.5000000000000002
 0.200147E-04,0.5100000000000002
 0.231285E-04,0.5200000000000002
 0.241860E-04,0.5300000000000002
 0.200671E-04,0.5400000000000003
 0.243861E-04,0.5500000000000003
 0.302301E-04,0.5600000000000003
 0.233704E-04,0.5700000000000003
 0.222062E-04,0.5800000000000003
 0.215368E-04,0.5900000000000003
 0.231463E-04,0.6000000000000003
 0.288288E-04,0.6100000000000003
 0.222164E-04,0.6200000000000003
 0.221597E-04,0.6300000000000003
 0.209693E-04,0.6400000000000003
 0.179083E-04,0.6500000000000004
 0.223648E-04,0.6600000000000004
 0.203072E-04,0.6700000000000004
 0.257292E-04,0.6800000000000004
 0.235363E-04,0.6900000000000004
